in s,C1 in V
-6.599981E-02,-1.0501480E+01
-6.599880E-02,-1.0499954E+01
-6.599779E-02,-1.0488510E+01
-6.599678E-02,-1.0499191E+01
-6.599578E-02,-1.0503769E+01
-6.599477E-02,-1.0507584E+01
-6.599376E-02,-1.0508347E+01
-6.599275E-02,-1.0504532E+01
-6.599174E-02,-1.0504532E+01
-6.599074E-02,-1.0499954E+01
-6.598973E-02,-1.0500717E+01
-6.598872E-02,-1.0499954E+01
-6.598771E-02,-1.0494614E+01
-6.598670E-02,-1.0497665E+01
-6.598570E-02,-1.0497665E+01
-6.598469E-02,-1.0504532E+01
-6.598368E-02,-1.0507584E+01
-6.598267E-02,-1.0508347E+01
-6.598166E-02,-1.0507584E+01
-6.598066E-02,-1.0514450E+01
-6.597965E-02,-1.0520554E+01
-6.597864E-02,-1.0512924E+01
-6.597763E-02,-1.0507584E+01
-6.597662E-02,-1.0512924E+01
-6.597562E-02,-1.0522842E+01
-6.597461E-02,-1.0531998E+01
-6.597360E-02,-1.0528946E+01
-6.597259E-02,-1.0519028E+01
-6.597158E-02,-1.0514450E+01
-6.597058E-02,-1.0521317E+01
-6.596957E-02,-1.0525894E+01
-6.596856E-02,-1.0528946E+01
-6.596755E-02,-1.0525894E+01
-6.596654E-02,-1.0514450E+01
-6.596554E-02,-1.0524368E+01
-6.596453E-02,-1.0538864E+01
-6.596352E-02,-1.0530472E+01
-6.596251E-02,-1.0530472E+01
-6.596150E-02,-1.0525894E+01
-6.596050E-02,-1.0524368E+01
-6.595949E-02,-1.0541916E+01
-6.595848E-02,-1.0531998E+01
-6.595747E-02,-1.0520554E+01
-6.595646E-02,-1.0529709E+01
-6.595546E-02,-1.0535812E+01
-6.595445E-02,-1.0531235E+01
-6.595344E-02,-1.0525131E+01
-6.595243E-02,-1.0528946E+01
-6.595142E-02,-1.0531235E+01
-6.595042E-02,-1.0530472E+01
-6.594941E-02,-1.0531998E+01
-6.594840E-02,-1.0515976E+01
-6.594739E-02,-1.0525894E+01
-6.594638E-02,-1.0511398E+01
-6.594538E-02,-1.0522842E+01
-6.594437E-02,-1.0526657E+01
-6.594336E-02,-1.0516739E+01
-6.594235E-02,-1.0529709E+01
-6.594134E-02,-1.0536575E+01
-6.594034E-02,-1.0536575E+01
-6.593933E-02,-1.0543442E+01
-6.593832E-02,-1.0541153E+01
-6.593731E-02,-1.0534286E+01
-6.593630E-02,-1.0537338E+01
-6.593530E-02,-1.0541916E+01
-6.593429E-02,-1.0542679E+01
-6.593328E-02,-1.0541153E+01
-6.593227E-02,-1.0537338E+01
-6.593126E-02,-1.0538864E+01
-6.593026E-02,-1.0546494E+01
-6.592925E-02,-1.0541916E+01
-6.592824E-02,-1.0541916E+01
-6.592723E-02,-1.0537338E+01
-6.592622E-02,-1.0535812E+01
-6.592522E-02,-1.0535812E+01
-6.592421E-02,-1.0535812E+01
-6.592320E-02,-1.0534286E+01
-6.592219E-02,-1.0535812E+01
-6.592118E-02,-1.0541153E+01
-6.592018E-02,-1.0537338E+01
-6.591917E-02,-1.0537338E+01
-6.591816E-02,-1.0539627E+01
-6.591715E-02,-1.0544968E+01
-6.591614E-02,-1.0555649E+01
-6.591514E-02,-1.0549545E+01
-6.591413E-02,-1.0544205E+01
-6.591312E-02,-1.0549545E+01
-6.591211E-02,-1.0548019E+01
-6.591110E-02,-1.0547256E+01
-6.591010E-02,-1.0541916E+01
