in s,C1 in V
-4.5602570E+00,1.584641E+00
-4.5601874E+00,1.584793E+00
-4.5601179E+00,1.583267E+00
-4.5600483E+00,1.580978E+00
-4.5599787E+00,1.577774E+00
-4.5599091E+00,1.574417E+00
-4.5598395E+00,1.570145E+00
-4.5597699E+00,1.565109E+00
-4.5597004E+00,1.559616E+00
-4.5596308E+00,1.553055E+00
-4.5595612E+00,1.544968E+00
-4.5594916E+00,1.536728E+00
-4.5594220E+00,1.527573E+00
-4.5593524E+00,1.517654E+00
-4.5592828E+00,1.507431E+00
-4.5592133E+00,1.496445E+00
-4.5591437E+00,1.484848E+00
-4.5590741E+00,1.472031E+00
-4.5590045E+00,1.458755E+00
-4.5589349E+00,1.444870E+00
-4.5588653E+00,1.429611E+00
-4.5587958E+00,1.414352E+00
-4.5587262E+00,1.398788E+00
-4.5586566E+00,1.382309E+00
-4.5585870E+00,1.365982E+00
-4.5585174E+00,1.350113E+00
-4.5584478E+00,1.333176E+00
-4.5583783E+00,1.315933E+00
-4.5583087E+00,1.298080E+00
-4.5582391E+00,1.280991E+00
-4.5581695E+00,1.262680E+00
-4.5580999E+00,1.244064E+00
-4.5580303E+00,1.225906E+00
-4.5579608E+00,1.208054E+00
-4.5578912E+00,1.189743E+00
-4.5578216E+00,1.171127E+00
-4.5577520E+00,1.150986E+00
-4.5576824E+00,1.132523E+00
-4.5576128E+00,1.114059E+00
-4.5575432E+00,1.096359E+00
-4.5574737E+00,1.078354E+00
-4.5574041E+00,1.061111E+00
-4.5573345E+00,1.043106E+00
-4.5572649E+00,1.025101E+00
-4.5571953E+00,1.006485E+00
-4.5571257E+00,9.883270E-01
-4.5570562E+00,9.698639E-01
-4.5569866E+00,9.523163E-01
-4.5569170E+00,9.350739E-01
-4.5568474E+00,9.196625E-01
-4.5567778E+00,9.036407E-01
-4.5567082E+00,8.876190E-01
-4.5566387E+00,8.729706E-01
-4.5565691E+00,8.584747E-01
-4.5564995E+00,8.441315E-01
-4.5564299E+00,8.302460E-01
-4.5563603E+00,8.166656E-01
-4.5562907E+00,8.040009E-01
-4.5562212E+00,7.920990E-01
-4.5561516E+00,7.808075E-01
-4.5560820E+00,7.705841E-01
-4.5560124E+00,7.612762E-01
-4.5559428E+00,7.537994E-01
-4.5558732E+00,7.460175E-01
-4.5558036E+00,7.388458E-01
-4.5557341E+00,7.319794E-01
-4.5556645E+00,7.260284E-01
-4.5555949E+00,7.203827E-01
-4.5555253E+00,7.173309E-01
-4.5554557E+00,7.139740E-01
-4.5553861E+00,7.118378E-01
-4.5553166E+00,7.104645E-01
-4.5552470E+00,7.095490E-01
-4.5551774E+00,7.106171E-01
-4.5551078E+00,7.118378E-01
-4.5550382E+00,7.139740E-01
-4.5549686E+00,7.171783E-01
-4.5548991E+00,7.203827E-01
-4.5548295E+00,7.252655E-01
-4.5547599E+00,7.307587E-01
-4.5546903E+00,7.373199E-01
-4.5546207E+00,7.434235E-01
-4.5545511E+00,7.513580E-01
-4.5544816E+00,7.595978E-01
-4.5544120E+00,7.687531E-01
-4.5543424E+00,7.786713E-01
-4.5542728E+00,7.893524E-01
-4.5542032E+00,8.004913E-01
-4.5541336E+00,8.131561E-01
-4.5540640E+00,8.262787E-01
-4.5539945E+00,8.415375E-01
-4.5539249E+00,8.551178E-01
-4.5538553E+00,8.700714E-01
-4.5537857E+00,8.847198E-01
-4.5537161E+00,9.004364E-01
-4.5536465E+00,9.158478E-01
-4.5535770E+00,9.311066E-01
-4.5535074E+00,9.472809E-01
-4.5534378E+00,9.649811E-01
-4.5533682E+00,9.832916E-01
-4.5532986E+00,1.001907E+00
-4.5532290E+00,1.020065E+00
-4.5531595E+00,1.037613E+00
-4.5530899E+00,1.055923E+00
-4.5530203E+00,1.073471E+00
-4.5529507E+00,1.092545E+00
-4.5528811E+00,1.110550E+00
-4.5528115E+00,1.128555E+00
-4.5527420E+00,1.147476E+00
-4.5526724E+00,1.166092E+00
-4.5526028E+00,1.184708E+00
-4.5525332E+00,1.202866E+00
-4.5524636E+00,1.221939E+00
-4.5523940E+00,1.240707E+00
-4.5523244E+00,1.259781E+00
-4.5522549E+00,1.277328E+00
-4.5521853E+00,1.296097E+00
-4.5521157E+00,1.315781E+00
-4.5520461E+00,1.332565E+00
-4.5519765E+00,1.349655E+00
-4.5519069E+00,1.365982E+00
-4.5518374E+00,1.382462E+00
-4.5517678E+00,1.398483E+00
-4.5516982E+00,1.415268E+00
-4.5516286E+00,1.429764E+00
-4.5515590E+00,1.445328E+00
-4.5514894E+00,1.458450E+00
-4.5514199E+00,1.471420E+00
-4.5513503E+00,1.483780E+00
-4.5512807E+00,1.495987E+00
-4.5512111E+00,1.506973E+00
-4.5511415E+00,1.518265E+00
-4.5510719E+00,1.528946E+00
-4.5510024E+00,1.538101E+00
-4.5509328E+00,1.546646E+00
-4.5508632E+00,1.553513E+00
-4.5507936E+00,1.560226E+00
-4.5507240E+00,1.566940E+00
-4.5506544E+00,1.571671E+00
-4.5505848E+00,1.576859E+00
-4.5505153E+00,1.580215E+00
-4.5504457E+00,1.583115E+00
-4.5503761E+00,1.584793E+00
-4.5503065E+00,1.586014E+00
-4.5502369E+00,1.586014E+00
-4.5501673E+00,1.585251E+00
-4.5500978E+00,1.583725E+00
-4.5500282E+00,1.581589E+00
-4.5499586E+00,1.579453E+00
-4.5498890E+00,1.575790E+00
-4.5498194E+00,1.570297E+00
-4.5497498E+00,1.565567E+00
-4.5496803E+00,1.559158E+00
-4.5496107E+00,1.552444E+00
-4.5495411E+00,1.545578E+00
-4.5494715E+00,1.536880E+00
-4.5494019E+00,1.526810E+00
-4.5493323E+00,1.516891E+00
-4.5492628E+00,1.505600E+00
-4.5491932E+00,1.493546E+00
-4.5491236E+00,1.482254E+00
-4.5490540E+00,1.468674E+00
-4.5489844E+00,1.455093E+00
-4.5489148E+00,1.441666E+00
-4.5488452E+00,1.426254E+00
-4.5487757E+00,1.410843E+00
-4.5487061E+00,1.395279E+00
-4.5486365E+00,1.378494E+00
-4.5485669E+00,1.362625E+00
