in s,C1 in V
-4.5602570E+00,4.449936E+00
-4.5601874E+00,4.451462E+00
-4.5601179E+00,4.451462E+00
-4.5600483E+00,4.450546E+00
-4.5599787E+00,4.450546E+00
-4.5599091E+00,4.450394E+00
-4.5598395E+00,4.449631E+00
-4.5597699E+00,4.449478E+00
-4.5597004E+00,4.449173E+00
-4.5596308E+00,4.450699E+00
-4.5595612E+00,4.449631E+00
-4.5594916E+00,4.449326E+00
-4.5594220E+00,4.449326E+00
-4.5593524E+00,4.449478E+00
-4.5592828E+00,4.449020E+00
-4.5592133E+00,4.448563E+00
-4.5591437E+00,4.448868E+00
-4.5590741E+00,4.448410E+00
-4.5590045E+00,4.448410E+00
-4.5589349E+00,4.449020E+00
-4.5588653E+00,4.449478E+00
-4.5587958E+00,4.449936E+00
-4.5587262E+00,4.449478E+00
-4.5586566E+00,4.449631E+00
-4.5585870E+00,4.448410E+00
-4.5585174E+00,4.449478E+00
-4.5584478E+00,4.450546E+00
-4.5583783E+00,4.449326E+00
-4.5583087E+00,4.448563E+00
-4.5582391E+00,4.449173E+00
-4.5581695E+00,4.448868E+00
-4.5580999E+00,4.448868E+00
-4.5580303E+00,4.448868E+00
-4.5579608E+00,4.448563E+00
-4.5578912E+00,4.447647E+00
-4.5578216E+00,4.447952E+00
-4.5577520E+00,4.448105E+00
-4.5576824E+00,4.448257E+00
-4.5576128E+00,4.449020E+00
-4.5575432E+00,4.449173E+00
-4.5574737E+00,4.449326E+00
-4.5574041E+00,4.449326E+00
-4.5573345E+00,4.449173E+00
-4.5572649E+00,4.449020E+00
-4.5571953E+00,4.448715E+00
-4.5571257E+00,4.449631E+00
-4.5570562E+00,4.449478E+00
-4.5569866E+00,4.449631E+00
-4.5569170E+00,4.449783E+00
-4.5568474E+00,4.448715E+00
-4.5567778E+00,4.448563E+00
-4.5567082E+00,4.449173E+00
-4.5566387E+00,4.447647E+00
-4.5565691E+00,4.449326E+00
-4.5564995E+00,4.448410E+00
-4.5564299E+00,4.448410E+00
-4.5563603E+00,4.449326E+00
-4.5562907E+00,4.449326E+00
-4.5562212E+00,4.448563E+00
-4.5561516E+00,4.447800E+00
-4.5560820E+00,4.448105E+00
-4.5560124E+00,4.448563E+00
-4.5559428E+00,4.448410E+00
-4.5558732E+00,4.448105E+00
-4.5558036E+00,4.447647E+00
-4.5557341E+00,4.447952E+00
-4.5556645E+00,4.447342E+00
-4.5555949E+00,4.447189E+00
-4.5555253E+00,4.447342E+00
-4.5554557E+00,4.447037E+00
-4.5553861E+00,4.446579E+00
-4.5553166E+00,4.447495E+00
-4.5552470E+00,4.447647E+00
-4.5551774E+00,4.446884E+00
-4.5551078E+00,4.446426E+00
-4.5550382E+00,4.447037E+00
-4.5549686E+00,4.447647E+00
-4.5548991E+00,4.447342E+00
-4.5548295E+00,4.447495E+00
-4.5547599E+00,4.447037E+00
-4.5546903E+00,4.447189E+00
-4.5546207E+00,4.447495E+00
-4.5545511E+00,4.446732E+00
-4.5544816E+00,4.445969E+00
-4.5544120E+00,4.445511E+00
-4.5543424E+00,4.445663E+00
-4.5542728E+00,4.445969E+00
-4.5542032E+00,4.445816E+00
-4.5541336E+00,4.445511E+00
-4.5540640E+00,4.445816E+00
-4.5539945E+00,4.444901E+00
-4.5539249E+00,4.445663E+00
-4.5538553E+00,4.445969E+00
-4.5537857E+00,4.444290E+00
-4.5537161E+00,4.443680E+00
-4.5536465E+00,4.443680E+00
-4.5535770E+00,4.444138E+00
-4.5535074E+00,4.444595E+00
-4.5534378E+00,4.445053E+00
-4.5533682E+00,4.445053E+00
-4.5532986E+00,4.444748E+00
-4.5532290E+00,4.444443E+00
-4.5531595E+00,4.445358E+00
-4.5530899E+00,4.444901E+00
-4.5530203E+00,4.443680E+00
-4.5529507E+00,4.444901E+00
-4.5528811E+00,4.443680E+00
-4.5528115E+00,4.444138E+00
-4.5527420E+00,4.444901E+00
-4.5526724E+00,4.444748E+00
-4.5526028E+00,4.444595E+00
-4.5525332E+00,4.443375E+00
-4.5524636E+00,4.442917E+00
-4.5523940E+00,4.442917E+00
-4.5523244E+00,4.443222E+00
-4.5522549E+00,4.442917E+00
-4.5521853E+00,4.443375E+00
-4.5521157E+00,4.443069E+00
-4.5520461E+00,4.443069E+00
-4.5519765E+00,4.443375E+00
-4.5519069E+00,4.441849E+00
-4.5518374E+00,4.443680E+00
-4.5517678E+00,4.444138E+00
-4.5516982E+00,4.442612E+00
-4.5516286E+00,4.442917E+00
-4.5515590E+00,4.442459E+00
-4.5514894E+00,4.442459E+00
-4.5514199E+00,4.442917E+00
-4.5513503E+00,4.443680E+00
-4.5512807E+00,4.443527E+00
-4.5512111E+00,4.443222E+00
-4.5511415E+00,4.443375E+00
-4.5510719E+00,4.443832E+00
-4.5510024E+00,4.443375E+00
-4.5509328E+00,4.443222E+00
-4.5508632E+00,4.443222E+00
-4.5507936E+00,4.442764E+00
-4.5507240E+00,4.443375E+00
-4.5506544E+00,4.442154E+00
-4.5505848E+00,4.441391E+00
-4.5505153E+00,4.442307E+00
-4.5504457E+00,4.441086E+00
-4.5503761E+00,4.441238E+00
-4.5503065E+00,4.440628E+00
-4.5502369E+00,4.440628E+00
-4.5501673E+00,4.440475E+00
-4.5500978E+00,4.440628E+00
-4.5500282E+00,4.440628E+00
-4.5499586E+00,4.441086E+00
-4.5498890E+00,4.441544E+00
-4.5498194E+00,4.440933E+00
-4.5497498E+00,4.440781E+00
-4.5496803E+00,4.440933E+00
-4.5496107E+00,4.440323E+00
-4.5495411E+00,4.440781E+00
-4.5494715E+00,4.440933E+00
-4.5494019E+00,4.440628E+00
-4.5493323E+00,4.440781E+00
-4.5492628E+00,4.440781E+00
-4.5491932E+00,4.440628E+00
-4.5491236E+00,4.440628E+00
-4.5490540E+00,4.440628E+00
-4.5489844E+00,4.440323E+00
-4.5489148E+00,4.440170E+00
-4.5488452E+00,4.439713E+00
-4.5487757E+00,4.438950E+00
-4.5487061E+00,4.438950E+00
-4.5486365E+00,4.438950E+00
-4.5485669E+00,4.440628E+00
-4.5484973E+00,4.439560E+00
-4.5484277E+00,4.439102E+00
-4.5483582E+00,4.439713E+00
-4.5482886E+00,4.439713E+00
-4.5482190E+00,4.439407E+00
-4.5481494E+00,4.438339E+00
-4.5480798E+00,4.438187E+00
-4.5480102E+00,4.437881E+00
-4.5479407E+00,4.437424E+00
-4.5478711E+00,4.437119E+00
-4.5478015E+00,4.437881E+00
-4.5477319E+00,4.438034E+00
-4.5476623E+00,4.437424E+00
-4.5475927E+00,4.437881E+00
-4.5475232E+00,4.438034E+00
-4.5474536E+00,4.438492E+00
-4.5473840E+00,4.438797E+00
-4.5473144E+00,4.438797E+00
-4.5472448E+00,4.438797E+00
-4.5471752E+00,4.437729E+00
-4.5471056E+00,4.437881E+00
-4.5470361E+00,4.437271E+00
-4.5469665E+00,4.437119E+00
-4.5468969E+00,4.437424E+00
-4.5468273E+00,4.436661E+00
-4.5467577E+00,4.436203E+00
-4.5466881E+00,4.436508E+00
-4.5466186E+00,4.435898E+00
-4.5465490E+00,4.435287E+00
-4.5464794E+00,4.435593E+00
-4.5464098E+00,4.435898E+00
-4.5463402E+00,4.435898E+00
-4.5462706E+00,4.436661E+00
-4.5462011E+00,4.436356E+00
-4.5461315E+00,4.436813E+00
-4.5460619E+00,4.436508E+00
-4.5459923E+00,4.436203E+00
-4.5459227E+00,4.436508E+00
-4.5458531E+00,4.436050E+00
-4.5457836E+00,4.436203E+00
-4.5457140E+00,4.436508E+00
-4.5456444E+00,4.436203E+00
-4.5455748E+00,4.435593E+00
-4.5455052E+00,4.436203E+00
-4.5454356E+00,4.437424E+00
-4.5453660E+00,4.436356E+00
-4.5452965E+00,4.436813E+00
-4.5452269E+00,4.437576E+00
-4.5451573E+00,4.437424E+00
-4.5450877E+00,4.437729E+00
-4.5450181E+00,4.438339E+00
-4.5449485E+00,4.437881E+00
-4.5448790E+00,4.436966E+00
-4.5448094E+00,4.436966E+00
-4.5447398E+00,4.437271E+00
-4.5446702E+00,4.437576E+00
-4.5446006E+00,4.437729E+00
-4.5445310E+00,4.437424E+00
-4.5444615E+00,4.436356E+00
-4.5443919E+00,4.436508E+00
-4.5443223E+00,4.436966E+00
-4.5442527E+00,4.437576E+00
-4.5441831E+00,4.437424E+00
-4.5441135E+00,4.437271E+00
-4.5440440E+00,4.437881E+00
-4.5439744E+00,4.438187E+00
-4.5439048E+00,4.436813E+00
-4.5438352E+00,4.435745E+00
-4.5437656E+00,4.435898E+00
-4.5436960E+00,4.436966E+00
-4.5436264E+00,4.436050E+00
-4.5435569E+00,4.435440E+00
-4.5434873E+00,4.434677E+00
-4.5434177E+00,4.434982E+00
-4.5433481E+00,4.435287E+00
-4.5432785E+00,4.435440E+00
-4.5432089E+00,4.435135E+00
-4.5431394E+00,4.434677E+00
-4.5430698E+00,4.434372E+00
-4.5430002E+00,4.434067E+00
-4.5429306E+00,4.434067E+00
-4.5428610E+00,4.435287E+00
-4.5427914E+00,4.434219E+00
-4.5427219E+00,4.434219E+00
-4.5426523E+00,4.433304E+00
-4.5425827E+00,4.434067E+00
-4.5425131E+00,4.433609E+00
-4.5424435E+00,4.433762E+00
-4.5423739E+00,4.434219E+00
-4.5423044E+00,4.433456E+00
-4.5422348E+00,4.433914E+00
-4.5421652E+00,4.433609E+00
-4.5420956E+00,4.433456E+00
-4.5420260E+00,4.432236E+00
-4.5419564E+00,4.432846E+00
-4.5418868E+00,4.432693E+00
-4.5418173E+00,4.432236E+00
-4.5417477E+00,4.432693E+00
-4.5416781E+00,4.432236E+00
-4.5416085E+00,4.432846E+00
-4.5415389E+00,4.431778E+00
-4.5414693E+00,4.431778E+00
-4.5413998E+00,4.431168E+00
-4.5413302E+00,4.431015E+00
-4.5412606E+00,4.430710E+00
-4.5411910E+00,4.431473E+00
-4.5411214E+00,4.431778E+00
-4.5410518E+00,4.431778E+00
-4.5409823E+00,4.431931E+00
-4.5409127E+00,4.431015E+00
-4.5408431E+00,4.432083E+00
-4.5407735E+00,4.431778E+00
-4.5407039E+00,4.431778E+00
-4.5406343E+00,4.431778E+00
-4.5405648E+00,4.431473E+00
-4.5404952E+00,4.431168E+00
-4.5404256E+00,4.431015E+00
-4.5403560E+00,4.431320E+00
-4.5402864E+00,4.431931E+00
-4.5402168E+00,4.432083E+00
-4.5401472E+00,4.431778E+00
-4.5400777E+00,4.430862E+00
-4.5400081E+00,4.431168E+00
-4.5399385E+00,4.431015E+00
-4.5398689E+00,4.431320E+00
-4.5397993E+00,4.430557E+00
-4.5397297E+00,4.430252E+00
-4.5396602E+00,4.430557E+00
-4.5395906E+00,4.430405E+00
-4.5395210E+00,4.430710E+00
-4.5394514E+00,4.430252E+00
-4.5393818E+00,4.429642E+00
-4.5393122E+00,4.429642E+00
-4.5392427E+00,4.429947E+00
-4.5391731E+00,4.429489E+00
-4.5391035E+00,4.429642E+00
-4.5390339E+00,4.429642E+00
-4.5389643E+00,4.429642E+00
-4.5388947E+00,4.430710E+00
-4.5388252E+00,4.430862E+00
-4.5387556E+00,4.430557E+00
-4.5386860E+00,4.430405E+00
-4.5386164E+00,4.428879E+00
-4.5385468E+00,4.428421E+00
-4.5384772E+00,4.427963E+00
-4.5384076E+00,4.428879E+00
-4.5383381E+00,4.428726E+00
-4.5382685E+00,4.428116E+00
-4.5381989E+00,4.427505E+00
-4.5381293E+00,4.427658E+00
-4.5380597E+00,4.428268E+00
-4.5379901E+00,4.428574E+00
-4.5379206E+00,4.428268E+00
-4.5378510E+00,4.427963E+00
-4.5377814E+00,4.427505E+00
-4.5377118E+00,4.427200E+00
-4.5376422E+00,4.426895E+00
-4.5375726E+00,4.426895E+00
-4.5375031E+00,4.428268E+00
-4.5374335E+00,4.427963E+00
-4.5373639E+00,4.426895E+00
-4.5372943E+00,4.427658E+00
-4.5372247E+00,4.428574E+00
-4.5371551E+00,4.428268E+00
-4.5370856E+00,4.427963E+00
-4.5370160E+00,4.427658E+00
-4.5369464E+00,4.427048E+00
-4.5368768E+00,4.426285E+00
-4.5368072E+00,4.426590E+00
-4.5367376E+00,4.427200E+00
-4.5366680E+00,4.427505E+00
-4.5365985E+00,4.427353E+00
-4.5365289E+00,4.426895E+00
-4.5364593E+00,4.425827E+00
-4.5363897E+00,4.426132E+00
-4.5363201E+00,4.425674E+00
-4.5362505E+00,4.425522E+00
-4.5361810E+00,4.425827E+00
-4.5361114E+00,4.424911E+00
-4.5360418E+00,4.425064E+00
-4.5359722E+00,4.425217E+00
-4.5359026E+00,4.425522E+00
-4.5358330E+00,4.425980E+00
-4.5357635E+00,4.425827E+00
-4.5356939E+00,4.425674E+00
-4.5356243E+00,4.425064E+00
-4.5355547E+00,4.425064E+00
-4.5354851E+00,4.424911E+00
-4.5354155E+00,4.424301E+00
-4.5353460E+00,4.424759E+00
-4.5352764E+00,4.424454E+00
-4.5352068E+00,4.426132E+00
-4.5351372E+00,4.426285E+00
-4.5350676E+00,4.424454E+00
-4.5349980E+00,4.425064E+00
-4.5349284E+00,4.424911E+00
-4.5348589E+00,4.424454E+00
-4.5347893E+00,4.424911E+00
-4.5347197E+00,4.424759E+00
-4.5346501E+00,4.424606E+00
-4.5345805E+00,4.424606E+00
-4.5345109E+00,4.424454E+00
-4.5344414E+00,4.423996E+00
-4.5343718E+00,4.424149E+00
-4.5343022E+00,4.423691E+00
-4.5342326E+00,4.423538E+00
-4.5341630E+00,4.423386E+00
-4.5340934E+00,4.422775E+00
-4.5340239E+00,4.422775E+00
-4.5339543E+00,4.423233E+00
-4.5338847E+00,4.423538E+00
-4.5338151E+00,4.423996E+00
-4.5337455E+00,4.423996E+00
-4.5336759E+00,4.423691E+00
-4.5336064E+00,4.424454E+00
-4.5335368E+00,4.423996E+00
-4.5334672E+00,4.422928E+00
-4.5333976E+00,4.422623E+00
-4.5333280E+00,4.423080E+00
-4.5332584E+00,4.423080E+00
-4.5331888E+00,4.422012E+00
-4.5331193E+00,4.421555E+00
-4.5330497E+00,4.421097E+00
-4.5329801E+00,4.420792E+00
-4.5329105E+00,4.421402E+00
-4.5328409E+00,4.421249E+00
-4.5327713E+00,4.421402E+00
-4.5327018E+00,4.421249E+00
-4.5326322E+00,4.421555E+00
-4.5325626E+00,4.421707E+00
-4.5324930E+00,4.421402E+00
-4.5324234E+00,4.420944E+00
-4.5323538E+00,4.420181E+00
-4.5322843E+00,4.420486E+00
-4.5322147E+00,4.420334E+00
-4.5321451E+00,4.420334E+00
-4.5320755E+00,4.420944E+00
-4.5320059E+00,4.420639E+00
-4.5319363E+00,4.421097E+00
-4.5318668E+00,4.421707E+00
-4.5317972E+00,4.421555E+00
-4.5317276E+00,4.420944E+00
-4.5316580E+00,4.421249E+00
-4.5315884E+00,4.420944E+00
-4.5315188E+00,4.420792E+00
-4.5314492E+00,4.420486E+00
-4.5313797E+00,4.419571E+00
-4.5313101E+00,4.419724E+00
-4.5312405E+00,4.419266E+00
-4.5311709E+00,4.418198E+00
-4.5311013E+00,4.417740E+00
-4.5310317E+00,4.418198E+00
-4.5309622E+00,4.418350E+00
-4.5308926E+00,4.417740E+00
-4.5308230E+00,4.418808E+00
-4.5307534E+00,4.419266E+00
-4.5306838E+00,4.418961E+00
-4.5306142E+00,4.418808E+00
-4.5305447E+00,4.419418E+00
-4.5304751E+00,4.418808E+00
-4.5304055E+00,4.418198E+00
-4.5303359E+00,4.417740E+00
-4.5302663E+00,4.417587E+00
-4.5301967E+00,4.418350E+00
-4.5301272E+00,4.417587E+00
-4.5300576E+00,4.417892E+00
-4.5299880E+00,4.418198E+00
-4.5299184E+00,4.418350E+00
-4.5298488E+00,4.418350E+00
-4.5297792E+00,4.418198E+00
-4.5297096E+00,4.417892E+00
-4.5296401E+00,4.418198E+00
-4.5295705E+00,4.417892E+00
-4.5295009E+00,4.419266E+00
-4.5294313E+00,4.418961E+00
-4.5293617E+00,4.418503E+00
-4.5292921E+00,4.417892E+00
-4.5292226E+00,4.418350E+00
-4.5291530E+00,4.417892E+00
-4.5290834E+00,4.417435E+00
-4.5290138E+00,4.417435E+00
-4.5289442E+00,4.417435E+00
-4.5288746E+00,4.417282E+00
-4.5288051E+00,4.416824E+00
-4.5287355E+00,4.417282E+00
-4.5286659E+00,4.417740E+00
-4.5285963E+00,4.416672E+00
-4.5285267E+00,4.416519E+00
-4.5284571E+00,4.417282E+00
-4.5283876E+00,4.417587E+00
-4.5283180E+00,4.417282E+00
-4.5282484E+00,4.416519E+00
-4.5281788E+00,4.416977E+00
-4.5281092E+00,4.416824E+00
-4.5280396E+00,4.415604E+00
-4.5279700E+00,4.416672E+00
-4.5279005E+00,4.416061E+00
-4.5278309E+00,4.416367E+00
-4.5277613E+00,4.416367E+00
-4.5276917E+00,4.416367E+00
-4.5276221E+00,4.416061E+00
-4.5275525E+00,4.416061E+00
-4.5274830E+00,4.417130E+00
-4.5274134E+00,4.417130E+00
-4.5273438E+00,4.416824E+00
-4.5272742E+00,4.417587E+00
-4.5272046E+00,4.416824E+00
-4.5271350E+00,4.416519E+00
-4.5270655E+00,4.416214E+00
-4.5269959E+00,4.415756E+00
-4.5269263E+00,4.416214E+00
-4.5268567E+00,4.415604E+00
-4.5267871E+00,4.416061E+00
-4.5267175E+00,4.415298E+00
-4.5266480E+00,4.414383E+00
-4.5265784E+00,4.413925E+00
-4.5265088E+00,4.414841E+00
-4.5264392E+00,4.414078E+00
-4.5263696E+00,4.413315E+00
-4.5263000E+00,4.413925E+00
-4.5262304E+00,4.413620E+00
-4.5261609E+00,4.413925E+00
-4.5260913E+00,4.413010E+00
-4.5260217E+00,4.413162E+00
-4.5259521E+00,4.412857E+00
-4.5258825E+00,4.412857E+00
-4.5258129E+00,4.412247E+00
-4.5257434E+00,4.412552E+00
-4.5256738E+00,4.413315E+00
-4.5256042E+00,4.413315E+00
-4.5255346E+00,4.413467E+00
-4.5254650E+00,4.413162E+00
-4.5253954E+00,4.412552E+00
-4.5253259E+00,4.412552E+00
-4.5252563E+00,4.412552E+00
-4.5251867E+00,4.413162E+00
-4.5251171E+00,4.413925E+00
-4.5250475E+00,4.412399E+00
-4.5249779E+00,4.413315E+00
-4.5249084E+00,4.412552E+00
-4.5248388E+00,4.411179E+00
-4.5247692E+00,4.411026E+00
-4.5246996E+00,4.410110E+00
-4.5246300E+00,4.410721E+00
-4.5245604E+00,4.410416E+00
-4.5244908E+00,4.409958E+00
-4.5244213E+00,4.409958E+00
-4.5243517E+00,4.409500E+00
-4.5242821E+00,4.409042E+00
-4.5242125E+00,4.409653E+00
-4.5241429E+00,4.410416E+00
-4.5240733E+00,4.410110E+00
-4.5240038E+00,4.409500E+00
-4.5239342E+00,4.409500E+00
-4.5238646E+00,4.409805E+00
-4.5237950E+00,4.410721E+00
-4.5237254E+00,4.409958E+00
-4.5236558E+00,4.411179E+00
-4.5235863E+00,4.410721E+00
-4.5235167E+00,4.410721E+00
-4.5234471E+00,4.410416E+00
-4.5233775E+00,4.410263E+00
-4.5233079E+00,4.410416E+00
-4.5232383E+00,4.410263E+00
-4.5231688E+00,4.409653E+00
-4.5230992E+00,4.410721E+00
-4.5230296E+00,4.410263E+00
-4.5229600E+00,4.409805E+00
-4.5228904E+00,4.409042E+00
-4.5228208E+00,4.409805E+00
-4.5227512E+00,4.409500E+00
-4.5226817E+00,4.408279E+00
-4.5226121E+00,4.408737E+00
-4.5225425E+00,4.409042E+00
-4.5224729E+00,4.409042E+00
-4.5224033E+00,4.409195E+00
-4.5223337E+00,4.408737E+00
-4.5222642E+00,4.408585E+00
-4.5221946E+00,4.407364E+00
-4.5221250E+00,4.407974E+00
-4.5220554E+00,4.408127E+00
-4.5219858E+00,4.406754E+00
-4.5219162E+00,4.406601E+00
-4.5218467E+00,4.406296E+00
-4.5217771E+00,4.407364E+00
-4.5217075E+00,4.407822E+00
-4.5216379E+00,4.408585E+00
-4.5215683E+00,4.408279E+00
-4.5214987E+00,4.407974E+00
-4.5214292E+00,4.408585E+00
-4.5213596E+00,4.408279E+00
-4.5212900E+00,4.407822E+00
-4.5212204E+00,4.409042E+00
-4.5211508E+00,4.407822E+00
-4.5210812E+00,4.408737E+00
-4.5210116E+00,4.408127E+00
-4.5209421E+00,4.408432E+00
-4.5208725E+00,4.407364E+00
-4.5208029E+00,4.406448E+00
-4.5207333E+00,4.407059E+00
-4.5206637E+00,4.406143E+00
-4.5205941E+00,4.406906E+00
-4.5205246E+00,4.405685E+00
-4.5204550E+00,4.405991E+00
-4.5203854E+00,4.406296E+00
-4.5203158E+00,4.405991E+00
-4.5202462E+00,4.405685E+00
-4.5201766E+00,4.406754E+00
-4.5201071E+00,4.405075E+00
-4.5200375E+00,4.405228E+00
-4.5199679E+00,4.404465E+00
-4.5198983E+00,4.404922E+00
-4.5198287E+00,4.405075E+00
-4.5197591E+00,4.405228E+00
-4.5196896E+00,4.406296E+00
-4.5196200E+00,4.405991E+00
-4.5195504E+00,4.405075E+00
-4.5194808E+00,4.405228E+00
-4.5194112E+00,4.407211E+00
-4.5193416E+00,4.406906E+00
-4.5192720E+00,4.406601E+00
-4.5192025E+00,4.405991E+00
-4.5191329E+00,4.405991E+00
-4.5190633E+00,4.406906E+00
-4.5189937E+00,4.406448E+00
-4.5189241E+00,4.406754E+00
-4.5188545E+00,4.405991E+00
-4.5187850E+00,4.405533E+00
-4.5187154E+00,4.405228E+00
-4.5186458E+00,4.405380E+00
-4.5185762E+00,4.405075E+00
-4.5185066E+00,4.404465E+00
-4.5184370E+00,4.405533E+00
-4.5183675E+00,4.404617E+00
-4.5182979E+00,4.405075E+00
-4.5182283E+00,4.404617E+00
-4.5181587E+00,4.404617E+00
-4.5180891E+00,4.404770E+00
-4.5180195E+00,4.405075E+00
-4.5179500E+00,4.404770E+00
-4.5178804E+00,4.404160E+00
-4.5178108E+00,4.402634E+00
-4.5177412E+00,4.402481E+00
-4.5176716E+00,4.403702E+00
-4.5176020E+00,4.403091E+00
-4.5175324E+00,4.403397E+00
-4.5174629E+00,4.403397E+00
-4.5173933E+00,4.403091E+00
-4.5173237E+00,4.402634E+00
-4.5172541E+00,4.402328E+00
-4.5171845E+00,4.401871E+00
-4.5171149E+00,4.402481E+00
-4.5170454E+00,4.401108E+00
-4.5169758E+00,4.400955E+00
-4.5169062E+00,4.400955E+00
-4.5168366E+00,4.401260E+00
-4.5167670E+00,4.401260E+00
-4.5166974E+00,4.401413E+00
-4.5166279E+00,4.400345E+00
-4.5165583E+00,4.399734E+00
-4.5164887E+00,4.400650E+00
-4.5164191E+00,4.401260E+00
-4.5163495E+00,4.400650E+00
-4.5162799E+00,4.400345E+00
-4.5162104E+00,4.400345E+00
-4.5161408E+00,4.400345E+00
-4.5160712E+00,4.401566E+00
-4.5160016E+00,4.401566E+00
-4.5159320E+00,4.400650E+00
-4.5158624E+00,4.400497E+00
-4.5157928E+00,4.399887E+00
-4.5157233E+00,4.400803E+00
-4.5156537E+00,4.399582E+00
-4.5155841E+00,4.399429E+00
-4.5155145E+00,4.400192E+00
-4.5154449E+00,4.400345E+00
-4.5153753E+00,4.399887E+00
-4.5153058E+00,4.400192E+00
-4.5152362E+00,4.399582E+00
-4.5151666E+00,4.398972E+00
-4.5150970E+00,4.399582E+00
-4.5150274E+00,4.400345E+00
-4.5149578E+00,4.400345E+00
-4.5148883E+00,4.399277E+00
-4.5148187E+00,4.398972E+00
-4.5147491E+00,4.399277E+00
-4.5146795E+00,4.398972E+00
-4.5146099E+00,4.398819E+00
-4.5145403E+00,4.398819E+00
-4.5144708E+00,4.398361E+00
-4.5144012E+00,4.397751E+00
-4.5143316E+00,4.396988E+00
-4.5142620E+00,4.396683E+00
-4.5141924E+00,4.396988E+00
-4.5141228E+00,4.397751E+00
-4.5140532E+00,4.397751E+00
-4.5139837E+00,4.397598E+00
-4.5139141E+00,4.397751E+00
-4.5138445E+00,4.397293E+00
-4.5137749E+00,4.397598E+00
-4.5137053E+00,4.397446E+00
-4.5136357E+00,4.397598E+00
-4.5135662E+00,4.398361E+00
-4.5134966E+00,4.397751E+00
-4.5134270E+00,4.397293E+00
-4.5133574E+00,4.396683E+00
-4.5132878E+00,4.396072E+00
-4.5132182E+00,4.395615E+00
-4.5131487E+00,4.396225E+00
-4.5130791E+00,4.395920E+00
-4.5130095E+00,4.395615E+00
-4.5129399E+00,4.394852E+00
-4.5128703E+00,4.395462E+00
-4.5128007E+00,4.395615E+00
-4.5127312E+00,4.395157E+00
-4.5126616E+00,4.395004E+00
-4.5125920E+00,4.394547E+00
-4.5125224E+00,4.394699E+00
-4.5124528E+00,4.394852E+00
-4.5123832E+00,4.394852E+00
-4.5123136E+00,4.395004E+00
-4.5122441E+00,4.396530E+00
-4.5121745E+00,4.397293E+00
-4.5121049E+00,4.396225E+00
-4.5120353E+00,4.395920E+00
-4.5119657E+00,4.395920E+00
-4.5118961E+00,4.395462E+00
-4.5118266E+00,4.396225E+00
-4.5117570E+00,4.395462E+00
-4.5116874E+00,4.395462E+00
-4.5116178E+00,4.395767E+00
-4.5115482E+00,4.395920E+00
-4.5114786E+00,4.395767E+00
-4.5114091E+00,4.395462E+00
-4.5113395E+00,4.393784E+00
-4.5112699E+00,4.394394E+00
-4.5112003E+00,4.393631E+00
-4.5111307E+00,4.393936E+00
-4.5110611E+00,4.393173E+00
-4.5109916E+00,4.393173E+00
-4.5109220E+00,4.393326E+00
-4.5108524E+00,4.392715E+00
-4.5107828E+00,4.392563E+00
-4.5107132E+00,4.392715E+00
-4.5106436E+00,4.392563E+00
-4.5105740E+00,4.392258E+00
-4.5105045E+00,4.392715E+00
-4.5104349E+00,4.392868E+00
-4.5103653E+00,4.392715E+00
-4.5102957E+00,4.392258E+00
