in s,C2 in V
-5.94000E-04,1.153427E+00
-5.93984E-04,1.155411E+00
-5.93968E-04,1.149002E+00
-5.93952E-04,1.148087E+00
-5.93936E-04,1.152054E+00
-5.93920E-04,1.154953E+00
-5.93904E-04,1.150986E+00
-5.93888E-04,1.146561E+00
-5.93872E-04,1.150528E+00
-5.93856E-04,1.153427E+00
-5.93840E-04,1.152054E+00
-5.93824E-04,1.145187E+00
-5.93808E-04,1.150986E+00
-5.93792E-04,1.152054E+00
-5.93776E-04,1.148087E+00
-5.93760E-04,1.149612E+00
-5.93744E-04,1.149612E+00
-5.93728E-04,1.150986E+00
-5.93712E-04,1.149002E+00
-5.93696E-04,1.150070E+00
-5.93680E-04,1.149002E+00
-5.93664E-04,1.148087E+00
-5.93648E-04,1.150070E+00
-5.93632E-04,1.146103E+00
-5.93616E-04,1.152512E+00
-5.93600E-04,1.148087E+00
-5.93584E-04,1.149612E+00
-5.93568E-04,1.152512E+00
-5.93552E-04,1.149612E+00
-5.93536E-04,1.148087E+00
-5.93520E-04,1.150528E+00
-5.93504E-04,1.150070E+00
-5.93488E-04,1.144119E+00
-5.93472E-04,1.146103E+00
-5.93456E-04,1.140762E+00
-5.93440E-04,1.148087E+00
-5.93424E-04,1.149002E+00
-5.93408E-04,1.154495E+00
-5.93392E-04,1.154495E+00
-5.93376E-04,1.147171E+00
-5.93360E-04,1.152969E+00
-5.93344E-04,1.148087E+00
-5.93328E-04,1.147629E+00
-5.93312E-04,1.151443E+00
-5.93296E-04,1.152512E+00
-5.93280E-04,1.155411E+00
-5.93264E-04,1.155411E+00
-5.93248E-04,1.152512E+00
-5.93232E-04,1.142746E+00
-5.93216E-04,1.146561E+00
-5.93200E-04,1.154495E+00
-5.93184E-04,1.156937E+00
-5.93168E-04,1.152969E+00
-5.93152E-04,1.147171E+00
-5.93136E-04,1.150528E+00
-5.93120E-04,1.150070E+00
-5.93104E-04,1.150528E+00
-5.93088E-04,1.151443E+00
-5.93072E-04,1.149612E+00
-5.93056E-04,1.150070E+00
-5.93040E-04,1.152969E+00
-5.93024E-04,1.148087E+00
-5.93008E-04,1.143204E+00
-5.92992E-04,1.151443E+00
-5.92976E-04,1.151443E+00
-5.92960E-04,1.151443E+00
-5.92944E-04,1.149612E+00
-5.92928E-04,1.157852E+00
-5.92912E-04,1.149002E+00
-5.92896E-04,1.150986E+00
-5.92880E-04,1.152969E+00
-5.92864E-04,1.151443E+00
-5.92848E-04,1.152512E+00
-5.92832E-04,1.149002E+00
-5.92816E-04,1.157852E+00
-5.92800E-04,1.157394E+00
-5.92784E-04,1.150070E+00
-5.92768E-04,1.147629E+00
-5.92752E-04,1.143661E+00
-5.92736E-04,1.143661E+00
-5.92720E-04,1.149612E+00
-5.92704E-04,1.154495E+00
-5.92688E-04,1.151443E+00
-5.92672E-04,1.145645E+00
-5.92656E-04,1.149002E+00
-5.92640E-04,1.153427E+00
-5.92624E-04,1.150070E+00
-5.92608E-04,1.154495E+00
-5.92592E-04,1.140762E+00
-5.92576E-04,1.157852E+00
-5.92560E-04,1.159836E+00
-5.92544E-04,1.148544E+00
-5.92528E-04,1.152512E+00
-5.92512E-04,1.146561E+00
-5.92496E-04,1.148544E+00
-5.92480E-04,1.148087E+00
-5.92464E-04,1.153885E+00
-5.92448E-04,1.156937E+00
-5.92432E-04,1.150070E+00
-5.92416E-04,1.151443E+00
-5.92400E-04,1.146103E+00
-5.92384E-04,1.148544E+00
-5.92368E-04,1.147171E+00
-5.92352E-04,1.154953E+00
-5.92336E-04,1.149612E+00
-5.92320E-04,1.152969E+00
-5.92304E-04,1.143204E+00
-5.92288E-04,1.146561E+00
-5.92272E-04,1.152512E+00
-5.92256E-04,1.150528E+00
-5.92240E-04,1.154953E+00
-5.92224E-04,1.154953E+00
-5.92208E-04,1.154495E+00
-5.92192E-04,1.155411E+00
-5.92176E-04,1.150986E+00
-5.92160E-04,1.148544E+00
-5.92144E-04,1.150070E+00
-5.92128E-04,1.149002E+00
-5.92112E-04,1.150986E+00
-5.92096E-04,1.149002E+00
-5.92080E-04,1.149612E+00
-5.92064E-04,1.155869E+00
-5.92048E-04,1.150070E+00
-5.92032E-04,1.147171E+00
-5.92016E-04,1.148544E+00
-5.92000E-04,1.155869E+00
-5.91984E-04,1.150528E+00
-5.91968E-04,1.152054E+00
-5.91952E-04,1.149002E+00
-5.91936E-04,1.154495E+00
-5.91920E-04,1.150070E+00
-5.91904E-04,1.150070E+00
-5.91888E-04,1.149002E+00
-5.91872E-04,1.145645E+00
-5.91856E-04,1.150528E+00
-5.91840E-04,1.150986E+00
-5.91824E-04,1.150070E+00
-5.91808E-04,1.149612E+00
-5.91792E-04,1.146103E+00
-5.91776E-04,1.152054E+00
-5.91760E-04,1.154953E+00
-5.91744E-04,1.150986E+00
-5.91728E-04,1.150070E+00
-5.91712E-04,1.152512E+00
-5.91696E-04,1.153427E+00
-5.91680E-04,1.150986E+00
-5.91664E-04,1.148087E+00
-5.91648E-04,1.150528E+00
-5.91632E-04,1.150528E+00
-5.91616E-04,1.149002E+00
-5.91600E-04,1.146103E+00
-5.91584E-04,1.155869E+00
-5.91568E-04,1.152512E+00
-5.91552E-04,1.148087E+00
-5.91536E-04,1.146561E+00
-5.91520E-04,1.149612E+00
-5.91504E-04,1.148544E+00
-5.91488E-04,1.148087E+00
-5.91472E-04,1.153427E+00
-5.91456E-04,1.156326E+00
-5.91440E-04,1.145187E+00
-5.91424E-04,1.149612E+00
-5.91408E-04,1.145645E+00
-5.91392E-04,1.148087E+00
-5.91376E-04,1.152054E+00
-5.91360E-04,1.152969E+00
-5.91344E-04,1.150070E+00
-5.91328E-04,1.144730E+00
-5.91312E-04,1.150070E+00
-5.91296E-04,1.147629E+00
-5.91280E-04,1.148087E+00
-5.91264E-04,1.145187E+00
-5.91248E-04,1.147629E+00
-5.91232E-04,1.148087E+00
-5.91216E-04,1.149002E+00
-5.91200E-04,1.155869E+00
-5.91184E-04,1.148087E+00
-5.91168E-04,1.147629E+00
-5.91152E-04,1.147629E+00
-5.91136E-04,1.150986E+00
-5.91120E-04,1.146103E+00
-5.91104E-04,1.150070E+00
-5.91088E-04,1.148087E+00
-5.91072E-04,1.148087E+00
-5.91056E-04,1.154495E+00
-5.91040E-04,1.152969E+00
-5.91024E-04,1.148087E+00
-5.91008E-04,1.150070E+00
-5.90992E-04,1.144119E+00
-5.90976E-04,1.149002E+00
-5.90960E-04,1.153885E+00
-5.90944E-04,1.150528E+00
-5.90928E-04,1.148087E+00
-5.90912E-04,1.147171E+00
-5.90896E-04,1.147629E+00
-5.90880E-04,1.153885E+00
-5.90864E-04,1.144119E+00
-5.90848E-04,1.149002E+00
-5.90832E-04,1.144119E+00
-5.90816E-04,1.147171E+00
-5.90800E-04,1.153885E+00
-5.90784E-04,1.149612E+00
-5.90768E-04,1.141678E+00
-5.90752E-04,1.146103E+00
-5.90736E-04,1.151443E+00
-5.90720E-04,1.155869E+00
-5.90704E-04,1.143204E+00
-5.90688E-04,1.150986E+00
-5.90672E-04,1.146103E+00
-5.90656E-04,1.143661E+00
-5.90640E-04,1.142288E+00
-5.90624E-04,1.143661E+00
-5.90608E-04,1.149612E+00
-5.90592E-04,1.140762E+00
-5.90576E-04,1.144730E+00
-5.90560E-04,1.146561E+00
-5.90544E-04,1.153427E+00
-5.90528E-04,1.149612E+00
-5.90512E-04,1.147629E+00
-5.90496E-04,1.145187E+00
-5.90480E-04,1.152512E+00
-5.90464E-04,1.157852E+00
-5.90448E-04,1.146103E+00
-5.90432E-04,1.149612E+00
-5.90416E-04,1.148544E+00
-5.90400E-04,1.145645E+00
-5.90384E-04,1.151443E+00
-5.90368E-04,1.152969E+00
-5.90352E-04,1.149612E+00
-5.90336E-04,1.150070E+00
-5.90320E-04,1.147629E+00
-5.90304E-04,1.148087E+00
-5.90288E-04,1.146103E+00
-5.90272E-04,1.140305E+00
-5.90256E-04,1.144730E+00
-5.90240E-04,1.143661E+00
-5.90224E-04,1.145187E+00
-5.90208E-04,1.143661E+00
-5.90192E-04,1.144119E+00
-5.90176E-04,1.150986E+00
-5.90160E-04,1.148544E+00
-5.90144E-04,1.150986E+00
-5.90128E-04,1.147629E+00
-5.90112E-04,1.144730E+00
-5.90096E-04,1.148544E+00
-5.90080E-04,1.144730E+00
-5.90064E-04,1.146103E+00
-5.90048E-04,1.143661E+00
-5.90032E-04,1.146561E+00
-5.90016E-04,1.148087E+00
-5.90000E-04,1.143204E+00
-5.89984E-04,1.147629E+00
-5.89968E-04,1.136795E+00
-5.89952E-04,1.151443E+00
-5.89936E-04,1.146561E+00
-5.89920E-04,1.150986E+00
-5.89904E-04,1.148544E+00
-5.89888E-04,1.143204E+00
-5.89872E-04,1.148087E+00
-5.89856E-04,1.149612E+00
-5.89840E-04,1.148544E+00
-5.89824E-04,1.148087E+00
-5.89808E-04,1.147171E+00
-5.89792E-04,1.150528E+00
-5.89776E-04,1.151443E+00
-5.89760E-04,1.147171E+00
-5.89744E-04,1.152969E+00
-5.89728E-04,1.148544E+00
-5.89712E-04,1.149002E+00
-5.89696E-04,1.145187E+00
-5.89680E-04,1.140762E+00
-5.89664E-04,1.146103E+00
-5.89648E-04,1.145187E+00
-5.89632E-04,1.145645E+00
-5.89616E-04,1.145187E+00
-5.89600E-04,1.151443E+00
-5.89584E-04,1.146103E+00
-5.89568E-04,1.151443E+00
-5.89552E-04,1.142746E+00
-5.89536E-04,1.149612E+00
-5.89520E-04,1.146103E+00
-5.89504E-04,1.149002E+00
-5.89488E-04,1.148544E+00
-5.89472E-04,1.150528E+00
-5.89456E-04,1.147171E+00
-5.89440E-04,1.145645E+00
-5.89424E-04,1.147629E+00
-5.89408E-04,1.147629E+00
-5.89392E-04,1.141220E+00
-5.89376E-04,1.149612E+00
-5.89360E-04,1.145645E+00
-5.89344E-04,1.148544E+00
-5.89328E-04,1.150070E+00
-5.89312E-04,1.147629E+00
-5.89296E-04,1.146103E+00
-5.89280E-04,1.152512E+00
-5.89264E-04,1.149002E+00
-5.89248E-04,1.139847E+00
-5.89232E-04,1.145645E+00
-5.89216E-04,1.154953E+00
-5.89200E-04,1.150070E+00
-5.89184E-04,1.146561E+00
-5.89168E-04,1.149612E+00
-5.89152E-04,1.144730E+00
-5.89136E-04,1.147629E+00
-5.89120E-04,1.146103E+00
