in s,C2 in V
-4.5602570E+00,2.318893E+00
-4.5601874E+00,2.316452E+00
-4.5601179E+00,2.315842E+00
-4.5600483E+00,2.314011E+00
-4.5599787E+00,2.311722E+00
-4.5599091E+00,2.309891E+00
-4.5598395E+00,2.305008E+00
-4.5597699E+00,2.301956E+00
-4.5597004E+00,2.299973E+00
-4.5596308E+00,2.298752E+00
-4.5595612E+00,2.299362E+00
-4.5594916E+00,2.304398E+00
-4.5594220E+00,2.305618E+00
-4.5593524E+00,2.305161E+00
-4.5592828E+00,2.303177E+00
-4.5592133E+00,2.300125E+00
-4.5591437E+00,2.298447E+00
-4.5590741E+00,2.297531E+00
-4.5590045E+00,2.297531E+00
-4.5589349E+00,2.299973E+00
-4.5588653E+00,2.301804E+00
-4.5587958E+00,2.302414E+00
-4.5587262E+00,2.297836E+00
-4.5586566E+00,2.292343E+00
-4.5585870E+00,2.290970E+00
-4.5585174E+00,2.291733E+00
-4.5584478E+00,2.294632E+00
-4.5583783E+00,2.296310E+00
-4.5583087E+00,2.296616E+00
-4.5582391E+00,2.291428E+00
-4.5581695E+00,2.287766E+00
-4.5580999E+00,2.287003E+00
-4.5580303E+00,2.288223E+00
-4.5579608E+00,2.290054E+00
-4.5578912E+00,2.291885E+00
-4.5578216E+00,2.292343E+00
-4.5577520E+00,2.290054E+00
-4.5576824E+00,2.287308E+00
-4.5576128E+00,2.286087E+00
-4.5575432E+00,2.283951E+00
-4.5574737E+00,2.281967E+00
-4.5574041E+00,2.281357E+00
-4.5573345E+00,2.280136E+00
-4.5572649E+00,2.279831E+00
-4.5571953E+00,2.280441E+00
-4.5571257E+00,2.279221E+00
-4.5570562E+00,2.278458E+00
-4.5569866E+00,2.277237E+00
-4.5569170E+00,2.277237E+00
-4.5568474E+00,2.278305E+00
-4.5567778E+00,2.276932E+00
-4.5567082E+00,2.276169E+00
-4.5566387E+00,2.276016E+00
-4.5565691E+00,2.275101E+00
-4.5564995E+00,2.274033E+00
-4.5564299E+00,2.274185E+00
-4.5563603E+00,2.274796E+00
-4.5562907E+00,2.275864E+00
-4.5562212E+00,2.276016E+00
-4.5561516E+00,2.276016E+00
-4.5560820E+00,2.276016E+00
-4.5560124E+00,2.276016E+00
-4.5559428E+00,2.275711E+00
-4.5558732E+00,2.274185E+00
-4.5558036E+00,2.274338E+00
-4.5557341E+00,2.274185E+00
-4.5556645E+00,2.272659E+00
-4.5555949E+00,2.269302E+00
-4.5555253E+00,2.267929E+00
-4.5554557E+00,2.268082E+00
-4.5553861E+00,2.267319E+00
-4.5553166E+00,2.265640E+00
-4.5552470E+00,2.263504E+00
-4.5551774E+00,2.263657E+00
-4.5551078E+00,2.264725E+00
-4.5550382E+00,2.264725E+00
-4.5549686E+00,2.263504E+00
-4.5548991E+00,2.262894E+00
-4.5548295E+00,2.261978E+00
-4.5547599E+00,2.260605E+00
-4.5546903E+00,2.258774E+00
-4.5546207E+00,2.257553E+00
-4.5545511E+00,2.257706E+00
-4.5544816E+00,2.259079E+00
-4.5544120E+00,2.262436E+00
-4.5543424E+00,2.261520E+00
-4.5542728E+00,2.259384E+00
-4.5542032E+00,2.257248E+00
-4.5541336E+00,2.255722E+00
-4.5540640E+00,2.254959E+00
-4.5539945E+00,2.254196E+00
-4.5539249E+00,2.254501E+00
-4.5538553E+00,2.254807E+00
-4.5537857E+00,2.255417E+00
-4.5537161E+00,2.254807E+00
-4.5536465E+00,2.255264E+00
-4.5535770E+00,2.255264E+00
-4.5535074E+00,2.254044E+00
-4.5534378E+00,2.252670E+00
-4.5533682E+00,2.250381E+00
-4.5532986E+00,2.250076E+00
-4.5532290E+00,2.249924E+00
-4.5531595E+00,2.248245E+00
-4.5530899E+00,2.247177E+00
-4.5530203E+00,2.247635E+00
-4.5529507E+00,2.248093E+00
-4.5528811E+00,2.249771E+00
-4.5528115E+00,2.249771E+00
-4.5527420E+00,2.247787E+00
-4.5526724E+00,2.247330E+00
-4.5526028E+00,2.246109E+00
-4.5525332E+00,2.244278E+00
-4.5524636E+00,2.243210E+00
-4.5523940E+00,2.241684E+00
-4.5523244E+00,2.241379E+00
-4.5522549E+00,2.244431E+00
-4.5521853E+00,2.245041E+00
-4.5521157E+00,2.243515E+00
-4.5520461E+00,2.243515E+00
-4.5519765E+00,2.242752E+00
-4.5519069E+00,2.240463E+00
-4.5518374E+00,2.239548E+00
-4.5517678E+00,2.239548E+00
-4.5516982E+00,2.240921E+00
-4.5516286E+00,2.241531E+00
-4.5515590E+00,2.242599E+00
-4.5514894E+00,2.240158E+00
-4.5514199E+00,2.239090E+00
-4.5513503E+00,2.237259E+00
-4.5512807E+00,2.236496E+00
-4.5512111E+00,2.238480E+00
-4.5511415E+00,2.235580E+00
-4.5510719E+00,2.232071E+00
-4.5510024E+00,2.229782E+00
-4.5509328E+00,2.229630E+00
-4.5508632E+00,2.230087E+00
-4.5507936E+00,2.230698E+00
-4.5507240E+00,2.231461E+00
-4.5506544E+00,2.231613E+00
-4.5505848E+00,2.229935E+00
-4.5505153E+00,2.228714E+00
-4.5504457E+00,2.229172E+00
-4.5503761E+00,2.229630E+00
-4.5503065E+00,2.229477E+00
-4.5502369E+00,2.228714E+00
-4.5501673E+00,2.228561E+00
-4.5500978E+00,2.228256E+00
-4.5500282E+00,2.225967E+00
-4.5499586E+00,2.224899E+00
-4.5498890E+00,2.225204E+00
-4.5498194E+00,2.222000E+00
-4.5497498E+00,2.220932E+00
-4.5496803E+00,2.224594E+00
-4.5496107E+00,2.227951E+00
-4.5495411E+00,2.223831E+00
-4.5494715E+00,2.221542E+00
-4.5494019E+00,2.220322E+00
-4.5493323E+00,2.219254E+00
-4.5492628E+00,2.218185E+00
-4.5491932E+00,2.217728E+00
-4.5491236E+00,2.217880E+00
-4.5490540E+00,2.218643E+00
-4.5489844E+00,2.219254E+00
-4.5489148E+00,2.220016E+00
-4.5488452E+00,2.220932E+00
-4.5487757E+00,2.217728E+00
-4.5487061E+00,2.216049E+00
-4.5486365E+00,2.214981E+00
-4.5485669E+00,2.213913E+00
-4.5484973E+00,2.213913E+00
-4.5484277E+00,2.214218E+00
-4.5483582E+00,2.214371E+00
-4.5482886E+00,2.213150E+00
-4.5482190E+00,2.212540E+00
-4.5481494E+00,2.212997E+00
-4.5480798E+00,2.212387E+00
-4.5480102E+00,2.214523E+00
-4.5479407E+00,2.214981E+00
-4.5478711E+00,2.209488E+00
-4.5478015E+00,2.205978E+00
-4.5477319E+00,2.204147E+00
-4.5476623E+00,2.205368E+00
-4.5475927E+00,2.205826E+00
-4.5475232E+00,2.208572E+00
-4.5474536E+00,2.211319E+00
-4.5473840E+00,2.212387E+00
-4.5473144E+00,2.210403E+00
-4.5472448E+00,2.208267E+00
-4.5471752E+00,2.204758E+00
-4.5471056E+00,2.202621E+00
-4.5470361E+00,2.203842E+00
-4.5469665E+00,2.205978E+00
-4.5468969E+00,2.206436E+00
-4.5468273E+00,2.206741E+00
-4.5467577E+00,2.203232E+00
-4.5466881E+00,2.198502E+00
-4.5466186E+00,2.197586E+00
-4.5465490E+00,2.195297E+00
-4.5464794E+00,2.195602E+00
-4.5464098E+00,2.196671E+00
-4.5463402E+00,2.198502E+00
-4.5462706E+00,2.198959E+00
-4.5462011E+00,2.196365E+00
-4.5461315E+00,2.194839E+00
-4.5460619E+00,2.195450E+00
-4.5459923E+00,2.196518E+00
-4.5459227E+00,2.197891E+00
-4.5458531E+00,2.198044E+00
-4.5457836E+00,2.195908E+00
-4.5457140E+00,2.192856E+00
-4.5456444E+00,2.189499E+00
-4.5455748E+00,2.189651E+00
-4.5455052E+00,2.192398E+00
-4.5454356E+00,2.191177E+00
-4.5453660E+00,2.191025E+00
-4.5452965E+00,2.191635E+00
-4.5452269E+00,2.189804E+00
-4.5451573E+00,2.186600E+00
-4.5450877E+00,2.186752E+00
-4.5450181E+00,2.187363E+00
-4.5449485E+00,2.185226E+00
-4.5448790E+00,2.184006E+00
-4.5448094E+00,2.183395E+00
-4.5447398E+00,2.183701E+00
-4.5446702E+00,2.184769E+00
-4.5446006E+00,2.184921E+00
-4.5445310E+00,2.182022E+00
-4.5444615E+00,2.181412E+00
-4.5443919E+00,2.180954E+00
