in s,C2 in V
5.10180000E-01,2.111893E+00
5.10180016E-01,2.117844E+00
5.10180032E-01,2.112350E+00
5.10180048E-01,2.110977E+00
5.10180064E-01,2.116776E+00
5.10180080E-01,2.104568E+00
5.10180096E-01,2.111435E+00
5.10180112E-01,2.116318E+00
5.10180128E-01,2.113876E+00
5.10180144E-01,2.107468E+00
5.10180160E-01,2.115402E+00
5.10180176E-01,2.113419E+00
5.10180192E-01,2.112961E+00
5.10180208E-01,2.120743E+00
5.10180224E-01,2.108536E+00
5.10180240E-01,2.116776E+00
5.10180256E-01,2.120285E+00
5.10180272E-01,2.121658E+00
5.10180288E-01,2.114334E+00
5.10180304E-01,2.116776E+00
5.10180320E-01,2.110519E+00
5.10180336E-01,2.115860E+00
5.10180352E-01,2.113419E+00
5.10180368E-01,2.119217E+00
5.10180384E-01,2.111893E+00
5.10180400E-01,2.121658E+00
5.10180416E-01,2.116776E+00
5.10180432E-01,2.113419E+00
5.10180448E-01,2.114334E+00
5.10180464E-01,2.107010E+00
5.10180480E-01,2.117844E+00
5.10180496E-01,2.117844E+00
5.10180512E-01,2.114334E+00
5.10180528E-01,2.119217E+00
5.10180544E-01,2.123184E+00
5.10180560E-01,2.115402E+00
5.10180576E-01,2.116776E+00
5.10180592E-01,2.113419E+00
5.10180608E-01,2.118301E+00
5.10180624E-01,2.115860E+00
5.10180640E-01,2.120743E+00
5.10180656E-01,2.122726E+00
5.10180672E-01,2.120743E+00
5.10180688E-01,2.120743E+00
5.10180704E-01,2.114334E+00
5.10180720E-01,2.122726E+00
5.10180736E-01,2.116318E+00
5.10180752E-01,2.127609E+00
5.10180768E-01,2.121658E+00
5.10180784E-01,2.117844E+00
5.10180800E-01,2.121201E+00
5.10180816E-01,2.120285E+00
5.10180832E-01,2.117233E+00
5.10180848E-01,2.126541E+00
5.10180864E-01,2.125626E+00
5.10180880E-01,2.122726E+00
5.10180896E-01,2.121201E+00
5.10180912E-01,2.116776E+00
5.10180928E-01,2.123184E+00
5.10180944E-01,2.121201E+00
5.10180960E-01,2.117844E+00
5.10180976E-01,2.119217E+00
5.10180992E-01,2.118301E+00
5.10181008E-01,2.121201E+00
5.10181024E-01,2.124100E+00
5.10181040E-01,2.128067E+00
5.10181056E-01,2.115860E+00
5.10181072E-01,2.128067E+00
5.10181088E-01,2.121658E+00
5.10181104E-01,2.126083E+00
